,feature,transformation,block,source,start,end,details
1,pmi,1,business_indicators,https://www.quandl.com/data/ISM/MAN_PMI-PMI-Composite-Index,1948m1,2020m8,"purchasing managers index, Institute for Supply Management (ISM)"
2,business_outlook_survey,1,business_indicators,https://www.philadelphiafed.org/research-and-data/regional-economy/business-outlook-survey/historical-data,1968m5,2020m9,"manufacturing business outlook survey, diffusion indexes, seasonally adjusted"
3,business_confidence_index,1,business_indicators,https://stats.oecd.org/#,1950m1,2020m8,"Main economic indicators (MEI) : business confidence indicator, normalised, amplitude and seasonally adjusted"
4,consumer_confidence_index,1,business_indicators,https://stats.oecd.org/#,1960m1,2020m8,"Main economic indicators (MEI) : business confidence indicator, normalised, amplitude and seasonally adjusted"
5,industrial_production,2,production_and_sales,https://www.federalreserve.gov/datadownload/Choose.aspx?rel=g17,1919m1,2020m8,"Index, 2012=100, seasonally adjusted"
6,mgdp,2,production_and_sales,https://ihsmarkit.com/products/us-monthly-gdp-index.html,1992m1,2020m7,IHS Markit monthly GDP index
7,business_sales,2,production_and_sales,https://fred.stlouisfed.org/series/TOTBUSSMSA,1992m1,2020m7,"total business sales, millions of dollars, seasonally adjusted"
8,new_residential_sales,2,production_and_sales,https://www.census.gov/construction/nrs/historical_data/index.html,1963m1,2020m8,"houses for sale at end of period, thousands of units"
9,inventories,2,production_and_sales,https://fred.stlouisfed.org/series/BUSINV,1992m1,2020m7,"total business inventories, millions of dollars, seasonally adjusted"
10,unemployment_rate,1,labor_and_wages,https://stats.oecd.org/#,1955m1,2020m8,"monthly unemployment rate, all persons, seasonally adjusted"
11,employment,2,labor_and_wages,https://fred.stlouisfed.org/series/PAYEMS,1939m1,2020m8,"all employees, total nonfarm, thousands of persons, seasonally adjusted"
12,weekly_hours,2,labor_and_wages,https://fred.stlouisfed.org/series/AWHMAN,1939m1,2020m8,"average weekly hours of production and nonsupervisory employees, manufacturing, seasonally adjusted"
13,hourly_earnings,3,labor_and_wages,https://fred.stlouisfed.org/series/AHETPI,1964m1,2020m8,"average hourly earnings of production and nonsupervisory employees, total private, dollars per hour, seasonally adjusted"
14,consumer_credit,2,labor_and_wages,https://fred.stlouisfed.org/series/TOTALSL,1943m1,2020m7,"total consumer credit owned and securitized, outstanding, billions of dollars, seasonally adjusted"
15,personal_income,2,labor_and_wages,https://fred.stlouisfed.org/series/DSPIC96,1959m1,2020m7,"real disposable personal income, billions of chained 2012 dollars, annual rate, seasonally adjusted"
16,federal_debt,2,macroeconomic_aggregates,https://fred.stlouisfed.org/series/MVGFD027MNFRBDAL,1942m1,2020m8,"market value of gross federal debt, billions of dollars, not seasonally adjusted"
17,exports,2,macroeconomic_aggregates,https://www.census.gov/foreign-trade/balance/c0004.html,1989m1,2020m8,"exports with world, millions of dollars, seasonally adjusted"
18,imports,2,macroeconomic_aggregates,https://www.census.gov/foreign-trade/balance/c0004.html,1989m1,2020m8,"imports with world, millions of dollars, seasonally adjusted"
19,ppi,3,prices,https://fred.stlouisfed.org/series/PPIACO,1913m1,2020m8,"producer price index, 1982=100, all commodities, not seasonally adjusted"
20,cpi,3,prices,https://fred.stlouisfed.org/series/CPIAUCSL,1947m1,2020m8,"consumer price index, 1982=100, seasonally adjusted, all urban consumers, all itemsin U.S city average"
21,monetary_base,2,money_and_creadits,https://fred.stlouisfed.org/series/BOGMBASE,1959m1,2020m8,"monetary base, total , millions of dollars, not seasonally adjusted "
22,bank_assets,2,money_and_creadits,https://www.federalreserve.gov/datadownload/Choose.aspx?rel=H8,1973m1,2020m8,"total assets, all commercial banks, millions of dollars, seasonally adjusted"
23,bank_liabilities,2,money_and_creadits,https://www.federalreserve.gov/datadownload/Choose.aspx?rel=H8,1973m1,2020m8,"total liabilities, all commercial banks, millions of dollars, seasonally adjusted"
24,mortgage_rate,1,money_and_creadits,https://fred.stlouisfed.org/series/MORTGAGE30US#0,1971m4,2020m9,"30-Year fixed rate mortgage average, percent, not seasonally adjusted (monthly, end of period value)"
25,federal_funds_rate,1,interest_rates_and_finance,https://www.federalreserve.gov/datadownload/Choose.aspx?rel=H15,1954m7,2020m8,effective federal funds rate
26,treasury_bill,1,interest_rates_and_finance,https://www.federalreserve.gov/datadownload/Choose.aspx?rel=H15,1934m1,2020m8,"3-month Treasury bill, secondary market rate"
27,treasury_bill_10,1,interest_rates_and_finance,https://fred.stlouisfed.org/series/DGS10,1962m1,2020m9,"10-year Treasury bill, constant maturity rate"
28,effective_exchange_rate,2,interest_rates_and_finance,https://fred.stlouisfed.org/series/NNUSBIS,1964m1,2020m8,"narrow effective exchange rate, index, 2010=100, not seasonally adjusted"
29,spot_euro_us,2,interest_rates_and_finance,https://www.federalreserve.gov/datadownload/Choose.aspx?rel=H10,1971m1,2020m8,Euro/ECU exchange rates with US dollar
30,nyse_composite_index,2,interest_rates_and_finance,https://finance.yahoo.com/quote/%5ENYA/history?period1=-126316800&period2=1601424000&interval=1mo&filter=history&frequency=1mo,1965m12,2020m9,"NYSE delayed price, currency in USD, open"
31,vix,2,interest_rates_and_finance,https://fred.stlouisfed.org/series/VIXCLS,1990m1,2020m9,"VIX index, not seasonally adjusted"
